case_no,casetype,casesubtype,site_addr
CE1311-0164,GRASSWEEDS,VACANT LOT,2329 EMERSON LN
CE1311-0165,GRASSWEEDS,RESIDENTIAL,2724 CHEBI LN
CE1311-0166,TRASHDEBRIS,COMMERCIAL,1003  EAGLE DR
CE1311-0167,TRASHDEBRIS,RESIDENTIAL,515 COLLINS ST
CE1311-0168,OUTSIDE STORAGE,RESIDENTIAL,515 COLLINS ST
CE1311-0169,TRASHDEBRIS,RESIDENTIAL,1216/1220 AVE A
CE1311-0170,OUTSIDE STORAGE,RESIDENTIAL,1216/1220 AVE A
CE1311-0171,OUTSIDE STORAGE,RESIDENTIAL,3238 CLYDESDALE DR
CE1311-0172,PARKING,SINGLE FAMILY,3513 CLYDESDALE DR
CE1311-0173,TRASHDEBRIS,RESIDENTIAL,6012 THOROUGHBRED TRL
CE1311-0174,OUTSIDE STORAGE,RESIDENTIAL,1011 AVE A
CE1311-0175,TRASHDEBRIS,RESIDENTIAL,903-905 WELCH ST
CE1311-0176,OUTSIDE STORAGE,RESIDENTIAL,903-905 WELCH ST
CE1311-0177,TRASHDEBRIS,RESIDENTIAL,909-911 WELCH ST
CE1311-0178,TRASHDEBRIS,RESIDENTIAL,3239 ANDALUSIAN DR
CE1311-0179,OUTSIDE STORAGE,RESIDENTIAL,909-911 WELCH ST
CE1311-0180,TRASHDEBRIS,RESIDENTIAL,1206 BERNARD ST
CE1311-0181,OUTSIDE STORAGE,RESIDENTIAL,1206 BERNARD ST
CE1311-0182,TRASHDEBRIS,RESIDENTIAL,1106 BERNARD ST
CE1311-0183,FENCES,RESIDENTIAL,1106 PEAK ST
CE1311-0184,FENCES,RESIDENTIAL,1102 PEAK ST
CE1311-0185,PARKING,BLOCKING SIDEWALK,1228 CORDELL ST
CE1311-0186,GRASSWEEDS,RESIDENTIAL,905 WESTWAY ST
CE1311-0187,TRASHDEBRIS,RESIDENTIAL,912 CORDELL ST
CE1311-0188,TRASHDEBRIS,RESIDENTIAL,905 CORDELL ST
CE1311-0189,GRASSWEEDS,RESIDENTIAL,1002 PANHANDLE ST
CE1311-0190,PARKING,BLOCKING SIDEWALK,901 PANHANDLE ST
CE1311-0191,TRASHDEBRIS,RESIDENTIAL,809 PANHANDLE ST
CE1311-0192,OUTSIDE STORAGE,RESIDENTIAL,503 PANHANDLE ST
CE1311-0193,GRASSWEEDS,RESIDENTIAL,715 DENTON ST
CE1311-0194,OUTSIDE STORAGE,RESIDENTIAL,1005 DENTON ST
CE1311-0195,VIEW OBSTRUCTION,,2415 ROBIN CIR
CE1311-0196,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,104 W MCKINNEY ST
CE1311-0197,GRASSWEEDS,VACANT LOT,BELL AVE
CE1311-0198,TRASHDEBRIS,VACANT LOT,BELL AVE
CE1311-0199,TRASHDEBRIS,RESIDENTIAL,3121 CEDAR HILL ST
CE1311-0200,ILLEGAL DUMPING,VACANT LOT,5909 THOROUGHBRED TRL
CE1311-0201,TRASHDEBRIS,RESIDENTIAL,3208 HOLLYCREEK
CE1311-0202,GRASSWEEDS,RESIDENTIAL,3113 BELL AVE
CE1311-0203,INOPERABLE VEHICLE,MOTOR VEHICLE,3112 N BELL AVE
CE1311-0204,TRASHDEBRIS,RESIDENTIAL,3151 LIDO WAY
CE1311-0205,INOPERABLE VEHICLE,MOTOR VEHICLE,3132 LIDO WAY
CE1311-0206,GRASSWEEDS,RESIDENTIAL,505 BALBOA CT
CE1311-0207,OUTSIDE STORAGE,RESIDENTIAL,3152 LIDO WAY
CE1311-0208,TRASHDEBRIS,RESIDENTIAL,3152 LIDO WAY
CE1311-0209,GRASSWEEDS,RESIDENTIAL,3713 SAGEWOOD ST
CE1311-0210,GRASSWEEDS,RESIDENTIAL,3708 PHEASANT HOLLOW ST
CE1311-0211,TRASHRECYCLE BINS,CURB WRONG TIME,3708 PHEASANT HOLLOW ST
CE1311-0212,GRASSWEEDS,RESIDENTIAL,308 MEADOW LN
CE1311-0213,TRASHDEBRIS,RESIDENTIAL,3525 VALLEY VIEW RD
CE1311-0214,GRASSWEEDS,RESIDENTIAL,3312 VALLEY VIEW RD
CE1311-0215,OUTSIDE STORAGE,RESIDENTIAL,3312 VALLEY VIEW RD
CE1311-0216,TRASHDEBRIS,RESIDENTIAL,3312 VALLEY VIEW RD
CE1311-0217,GRASSWEEDS,RESIDENTIAL,3313 VALLEY VIEW RD
CE1311-0218,TRASHDEBRIS,RESIDENTIAL,3512 SAGEBRUSH DR
CE1311-0219,TRASHDEBRIS,RESIDENTIAL,3507 SAGEBRUSH DR
CE1311-0220,OUTSIDE STORAGE,RESIDENTIAL,3507 SAGEBRUSH DR
CE1311-0221,PARKING,BLOCKING SIDEWALK,3413 SUNNYDALE LN
CE1311-0222,ZONING,GARAGE TEMP SALES,3516 SUNNYDALE LN
CE1311-0223,TRASHDEBRIS,RESIDENTIAL,3605 SUNNYDALE LN
CE1311-0224,ILLEGAL DUMPING,CITY PROPERTY,MORSE AND NEWTON
CE1311-0225,PARKING,SINGLE FAMILY,1115 BAYFIELD DR
CE1311-0226,VIEW OBSTRUCTION,,300 N BELL AVE
CE1311-0227,VIEW OBSTRUCTION,,427 E MCKINNEY ST (PARCEL 3316
CE1311-0228,VIEW OBSTRUCTION,,207 COLLINS ST
CE1311-0229,TRASHDEBRIS,RESIDENTIAL,601 MYRTLE ST
CE1311-0230,TRASHDEBRIS,RESIDENTIAL,609 MYRTLE ST
CE1311-0231,TRASHDEBRIS,RESIDENTIAL,515 PIERCE ST
CE1311-0232,TRASHDEBRIS,RESIDENTIAL,401-403-405-409 W CONGRESS
CE1311-0233,GRAFFITI,COMMERCIAL,507 N LOCUST ST
CE1311-0234,TRASHDEBRIS,RESIDENTIAL,507-511 N AUSTIN ST
CE1311-0235,TRASHDEBRIS,COMMERCIAL,515 N AUSTIN ST
CE1311-0236,TRASHDEBRIS,RESIDENTIAL,723 HILL ALLEY ST
CE1311-0237,OUTSIDE STORAGE,RESIDENTIAL,723 HILL ALLEY ST
CE1311-0238,INOPERABLE VEHICLE,MOTOR VEHICLE,723 HILL ALLEY ST
CE1311-0239,TRASHRECYCLE BINS,LOCATION,723 HILL ALLEY ST
CE1311-0240,PARKING,SINGLE FAMILY,714 LAKEY ST
CE1311-0241,TRASHDEBRIS,RESIDENTIAL,319 S BRADSHAW ST
CE1311-0242,OUTSIDE STORAGE,RESIDENTIAL,319 S BRADSHAW ST
CE1311-0243,TRASHDEBRIS,RESIDENTIAL,715 ALEXANDER ST
CE1311-0244,OUTSIDE STORAGE,RESIDENTIAL,715 ALEXANDER ST
CE1311-0245,OUTSIDE STORAGE,RESIDENTIAL,1708 MARBLE COVE LN
CE1311-0246,INOPERABLE VEHICLE,MOTOR VEHICLE,1000 BULL RUN
CE1311-0247,GRASSWEEDS,RESIDENTIAL,721 ALEXANDER ST
CE1311-0248,TRASHDEBRIS,RESIDENTIAL,1321 WHITE DOVE LN
CE1311-0249,OUTSIDE STORAGE,RESIDENTIAL,8000 MIRROR ROCK LN
CE1311-0250,OUTSIDE STORAGE,RESIDENTIAL,107 RUDDELL ST
CE1311-0251,TRASHDEBRIS,RESIDENTIAL,933 SPRINGCREEK DR
CE1311-0252,FENCES,RESIDENTIAL,107 RUDDELL ST
CE1311-0253,MINIMUM BUILDING STA,NO ADDRESS POSTED,107 RUDDELL ST
CE1311-0254,TRASHDEBRIS,RESIDENTIAL,8000 MIRROR ROCK LN
CE1311-0255,OUTSIDE STORAGE,RESIDENTIAL,201 N RUDDELL ST
CE1311-0256,PARKING,BLOCKING SIDEWALK,908 GREENBEND DR
CE1311-0257,TRASHDEBRIS,RESIDENTIAL,806 CROSS TIMBER ST
CE1311-0258,OUTSIDE STORAGE,RESIDENTIAL,806 CROSS TIMBER ST
CE1311-0259,MINIMUM BUILDING STA,NO ADDRESS POSTED,806 CROSS TIMBER ST
CE1311-0260,OUTSIDE STORAGE,RESIDENTIAL,8200 HIDDEN PATH LN
CE1311-0261,PARKING,BLOCKING SIDEWALK,8304 SEVEN OAKS LN
CE1311-0262,PARKING,SINGLE FAMILY,8204 SWAN PARK DR
CE1311-0263,PARKING,SINGLE FAMILY,1818 S BONNIE BRAE
CE1311-0264,TRASHDEBRIS,RESIDENTIAL,802 CROSS TIMBER ST
CE1311-0265,OUTSIDE STORAGE,RESIDENTIAL,802 CROSS TIMBER ST
CE1311-0266,PARKING,SINGLE FAMILY,802 CROSS TIMBER ST
CE1311-0267,PARKING,SINGLE FAMILY,1820-1822 BONNIE BRAE
CE1311-0268,TRASHDEBRIS,SINGLE FAMILY,1820-1822 BONNIE BRAE
CE1311-0269,GRASSWEEDS,RESIDENTIAL,1219 BOLIVAR ST
CE1311-0270,TRASHDEBRIS,RESIDENTIAL,1016 MULKEY LN
CE1311-0271,INOPERABLE VEHICLE,MOTOR VEHICLE,1425 MINGO RD
CE1311-0272,PARKING,SINGLE FAMILY,1425 MINGO RD
CE1311-0273,TRASHDEBRIS,RESIDENTIAL,913 BOLIVAR ST
CE1311-0274,PARKING,COMMERCIAL,1507 MINGO RD
CE1311-0275,GRAFFITI,RESIDENTIAL,Wheeler Ridge
CE1311-0276,PARKING,SINGLE FAMILY,822 ANNA ST
CE1311-0277,GRASSWEEDS,RESIDENTIAL,1016 ANNA ST
CE1311-0278,TRASHRECYCLE BINS,CURB WRONG TIME,1016 ANNA ST
CE1311-0279,TRASHDEBRIS,RESIDENTIAL,731 TEXAS ST
CE1311-0280,GRASSWEEDS,RESIDENTIAL,1114 ANNA ST
CE1311-0281,OUTSIDE STORAGE,RESIDENTIAL,1114 ANNA ST
CE1311-0282,CERTIFICATE OF OCCUP,NEW BUSINESS,1100 S WOODROW LN 110
CE1311-0283,TRASHDEBRIS,COMMERCIAL,1100 S WOODROW LN 110
CE1311-0284,GRASSWEEDS,COMMERCIAL,1100 S WOODROW LN 110
CE1311-0285,PARKING,SINGLE FAMILY,710 TEXAS ST
CE1311-0286,ORDINANCE OTHER DEPT,VACANT LOT,3309 ANYSA LN
CE1311-0287,ORDINANCE OTHER DEPT,VACANT LOT,3313 ANYSA LN
CE1311-0288,GRASSWEEDS,RESIDENTIAL,1220 ANNA ST
CE1311-0289,TRASHDEBRIS,RESIDENTIAL,1424 ANNA ST
CE1311-0290,GRASSWEEDS,RESIDENTIAL,409 WESTWAY ST
CE1311-0291,TRASHRECYCLE BINS,RESIDENTIAL,409 WESTWAY ST
CE1311-0292,TRASHDEBRIS,RESIDENTIAL,321 SUNSET ST
CE1311-0293,TRASHDEBRIS,RESIDENTIAL,1014 N AUSTIN ST
CE1311-0294,FENCES,RESIDENTIAL,2420 MERCEDES RD
CE1311-0295,GRASSWEEDS,RESIDENTIAL,1524 LINDSEY ST
CE1311-0296,PARKING,SINGLE FAMILY,1509 KENDOLPH DR
CE1311-0297,TRASHDEBRIS,RESIDENTIAL,3905 WINSTON DR
CE1311-0298,PARKING,BLOCKING SIDEWALK,2321 WILDWOOD LN
CE1311-0299,OUTSIDE STORAGE,RESIDENTIAL,7012 CRENSHAW LN
CE1311-0300,GRASSWEEDS,RESIDENTIAL,1243 HIGHLAND PARK RD
CE1311-0301,GRASSWEEDS,RESIDENTIAL,1811 WESTRIDGE ST
CE1311-0302,TRASHDEBRIS,RESIDENTIAL,1811 WESTRIDGE ST
CE1311-0303,GRASSWEEDS,RESIDENTIAL,1407 AVE C
CE1311-0304,PARKING,SINGLE FAMILY,6800 CRENSHAW LN
CE1311-0305,GRASSWEEDS,RESIDENTIAL,1408 AVE C
CE1311-0306,GRASSWEEDS,RESIDENTIAL,1005 SIERRA DR
CE1311-0307,OUTSIDE STORAGE,RESIDENTIAL,924 SIERRA DR
CE1311-0308,GRASSWEEDS,RESIDENTIAL,916 SIERRA DR
CE1311-0309,GRASSWEEDS,RESIDENTIAL,808 LAGUNA DR
CE1311-0310,OUTSIDE STORAGE,RESIDENTIAL,813 LAGUNA DR
CE1311-0311,GRASSWEEDS,RESIDENTIAL,817 LAGUNA DR
CE1311-0312,GRASSWEEDS,RESIDENTIAL,1108 KINGS ROW
CE1311-0313,TRASHDEBRIS,RESIDENTIAL,1108 KINGS ROW
CE1311-0314,GRASSWEEDS,RESIDENTIAL,1001 KINGS ROW
CE1311-0315,GRASSWEEDS,RESIDENTIAL,1002 IMPERIAL DR
CE1311-0316,TRASHDEBRIS,RESIDENTIAL,1002 IMPERIAL DR
CE1311-0317,GRASSWEEDS,RESIDENTIAL,1108 IMPERIAL DR
CE1311-0318,OUTSIDE STORAGE,RESIDENTIAL,1114 IMPERIAL DR
CE1311-0319,ZONING,POD,3800 YELLOWSTONE PL
CE1311-0320,GRASSWEEDS,RESIDENTIAL,513 NEPTUNE DR
CE1311-0321,PARKING,,513 NEPTUNE DR
CE1311-0322,TRASHDEBRIS,RESIDENTIAL,629 APOLLO DR
CE1311-0323,GRASSWEEDS,RESIDENTIAL,620 APOLLO DR
CE1311-0324,OUTSIDE STORAGE,RESIDENTIAL,517 APOLLO DR
CE1311-0325,TRASHDEBRIS,RESIDENTIAL,516 APOLLO DR
CE1311-0326,VIEW OBSTRUCTION,,Mesquite and Windsor
CE1311-0327,FENCES,RESIDENTIAL,2409 WESTWOOD DR
CE1311-0328,TRASHDEBRIS,RESIDENTIAL,2409 WESTWOOD DR
CE1311-0329,TRASHRECYCLE BINS,RESIDENTIAL,2409 WESTWOOD DR
CE1311-0330,VIEW OBSTRUCTION,,Londonderry and Jason
CE1311-0331,ORDINANCE OTHER DEPT,RESIDENTIAL,7003 CHITTAMWOOD CT
CE1311-0332,TRASHDEBRIS,RESIDENTIAL,603 W CONGRESS ST
CE1311-0333,TRASHDEBRIS,RESIDENTIAL,415 MARIETTA ST
CE1311-0334,TRASHDEBRIS,RESIDENTIAL,2034 HOUSTON PL
CE1311-0335,TRASHDEBRIS,RESIDENTIAL,433 FULTON ST
CE1311-0336,PARKING,SINGLE FAMILY,433 FULTON ST
CE1311-0337,GRAFFITI,CITY PROPERTY,302-306 FRY ST
CE1311-0338,TRASHDEBRIS,COMMERCIAL,309 BRYAN
CE1311-0339,PARKING,SINGLE FAMILY,307 JAGOE ST
CE1311-0340,PARKING,DUPLEX,420 FRY ST
CE1311-0341,TRASHDEBRIS,COMMERCIAL,324 FULTON ST
CE1311-0342,PARKING,DUPLEX,319 FULTON ST
CE1311-0343,OUTSIDE STORAGE,RESIDENTIAL,319 FULTON ST
CE1311-0344,OUTSIDE STORAGE,RESIDENTIAL,2504 CHAMPLAIN LN
CE1311-0345,PARKING,SINGLE FAMILY,3608 BIG HORN TRL
CE1311-0346,PARKING,SINGLE FAMILY,2613 WESLAYAN DR
CE1311-0347,PARKING,BLOCKING SIDEWALK,3932 CHIMNEY ROCK DR
CE1311-0348,PARKING,SINGLE FAMILY,2512 WESTHEIMER RD
CE1311-0349,MINIMUM BUILDING STA,,918 AVE A
CE1311-0350,PARKING,SINGLE FAMILY,401 BRADLEY ST
CE1311-0351,OUTSIDE STORAGE,RESIDENTIAL,522 DENTON ST
CE1311-0352,TRASHDEBRIS,RESIDENTIAL,3805 MIRAMAR DR
CE1311-0353,PARKING,DUPLEX,516 DENTON ST
CE1311-0354,TRASHDEBRIS,RESIDENTIAL,3700 MIRAMAR DR
CE1311-0355,GRASSWEEDS,RESIDENTIAL,1603 MCCORMICK ST
CE1311-0356,TRASHDEBRIS,RESIDENTIAL,1209 JOHNSON ST
CE1311-0357,TRASHDEBRIS,RESIDENTIAL,611 SMITH ST
CE1311-0358,ZONING,UNRELATED PEOPLE,2916 PENNIMAN RD
CE1311-0359,GRASSWEEDS,TREE LIMBS,400 PENNSYLVANIA DR
CE1311-0360,TRASHDEBRIS,COMMERCIAL,Mulberry and Ave A
CE1311-0361,TRASHDEBRIS,RESIDENTIAL,2219 BOLIVAR ST
CE1311-0362,OUTSIDE STORAGE,RESIDENTIAL,2421 BOLIVAR ST
CE1311-0363,TRASHDEBRIS,RESIDENTIAL,2220 DENISON ST
CE1311-0364,MINIMUM BUILDING STA,AESTHETIC FEATURES,1126 BELL AVE
CE1311-0365,TRASHDEBRIS,RESIDENTIAL,620 BOARDWALK LN
CE1311-0366,GRASSWEEDS,RESIDENTIAL,2520 BAUER DR
CE1311-0367,TRASHDEBRIS,RESIDENTIAL,2520 BAUER DR
CE1311-0368,GRASSWEEDS,TREE LIMBS,225 W MULBERRY ST
CE1311-0369,ZONING,SIGNAGE,721 S I-35E
CE1311-0370,ZONING,POD,1018 W OAK ST
CE1311-0371,PARKING,SINGLE FAMILY,221 AVE F
CE1311-0372,TRASHDEBRIS,RESIDENTIAL,221 AVE F
CE1311-0373,OUTSIDE STORAGE,RESIDENTIAL,221 AVE F
CE1311-0374,GRAFFITI,CITY PROPERTY,2429 STELLA ST
CE1311-0375,GRAFFITI,CITY PROPERTY,2508 CHARLOTTE
CE1311-0376,GRAFFITI,COMMERCIAL,2532 CHARLOTTE ST
CE1311-0377,OUTSIDE STORAGE,RESIDENTIAL,2510/2512 W PRAIRIE ST
CE1311-0378,PARKING,DUPLEX,2510/2512 W PRAIRIE ST
CE1311-0379,TRASHDEBRIS,COMMERCIAL,2405 W PRAIRIE ST
CE1311-0380,FENCES,COMMERCIAL,2223 W PRAIRIE ST
CE1311-0381,PARKING,SINGLE FAMILY,604-614 W MULBERRY ST
CE1311-0382,PARKING,COMMERCIAL,1004 W MULBERRY ST
CE1311-0383,OUTSIDE STORAGE,RESIDENTIAL,2013 FAIRMOUNT PARK DR
CE1311-0384,PARKING,BLOCKING SIDEWALK,7013 LIVINGSTON DR
CE1311-0385,TRASHDEBRIS,RESIDENTIAL,1029 W HICKORY
CE1311-0386,OUTSIDE STORAGE,RESIDENTIAL,1029 W HICKORY
CE1311-0387,PARKING,BLOCKING SIDEWALK,7021 SUNBURST TRAIL
CE1311-0388,ZONING,SIGNAGE,721 S I-35E
CE1311-0389,GRASSWEEDS,RESIDENTIAL,3801 TITAN TRAIL
CE1311-0390,TRASHDEBRIS,RESIDENTIAL,3800 TITAN TRAIL
CE1311-0391,TRASHDEBRIS,RESIDENTIAL,3816 TITAN TRAIL
CE1311-0392,OUTSIDE STORAGE,RESIDENTIAL,3900 TITAN TRAIL
CE1311-0393,OUTSIDE STORAGE,RESIDENTIAL,3904 TITAN TRAIL
CE1311-0394,OUTSIDE STORAGE,RESIDENTIAL,3912 TITAN TRAIL
CE1311-0395,TRASHDEBRIS,RESIDENTIAL,3920 TITAN TRAIL
CE1311-0396,TRASHRECYCLE BINS,LOCATION,3920 TITAN TRAIL
CE1311-0397,PARKING,BLOCKING SIDEWALK,4009 ATLAS DR
CE1311-0398,GRASSWEEDS,RESIDENTIAL,3921 ATLAS DR
CE1311-0399,TRASHDEBRIS,RESIDENTIAL,3900 ATLAS DR
CE1311-0400,PARKING,SINGLE FAMILY,3905 ATLAS DR
CE1311-0401,GRASSWEEDS,RESIDENTIAL,3801 ATLAS DR
CE1311-0402,PARKING,SINGLE FAMILY,3801 ATLAS DR
CE1311-0403,ZONING,SIGNAGE,604 W UNIVERSITY DR
CE1311-0404,ZONING,SIGNAGE,1725 W UNIVERSITY DR
CE1311-0405,GRASSWEEDS,COMMERCIAL,1701 BRINKER RD
CE1311-0406,ZONING,SIGNAGE,1725 W UNIVERSITY DR
CE1311-0407,ZONING,SIGNAGE,2834 W UNIVERSITY DR
CE1311-0408,ZONING,SIGNAGE,4465 N I-35
CE1311-0409,ZONING,SIGNAGE,5800 N I-35E
CE1311-0410,CERTIFICATE OF OCCUP,CHANGE OF OWNER,820 N ELM ST
CE1311-0411,TRASHDEBRIS,NEW BUSINESS,604 W UNIVERSITY DR
CE1311-0412,MINIMUM BUILDING STA,NO ADDRESS POSTED,1701 BRINKER RD
CE1311-0413,ZONING,SIGNAGE,1701 BRINKER RD
CE1311-0414,ZONING,SIGNAGE,1701 BRINKER RD
CE1311-0415,GRASSWEEDS,COMMERCIAL,1400 S LOCUST ST
CE1311-0416,GRASSWEEDS,RESIDENTIAL,909 SPRINGCREEK DR
CE1311-0417,INOPERABLE VEHICLE,MOTOR VEHICLE,1005 COLLIER ST
CE1311-0418,TRASHDEBRIS,RESIDENTIAL,1608 BERNARD ST
CE1311-0419,OUTSIDE STORAGE,RESIDENTIAL,1608 BERNARD ST
CE1311-0420,OUTSIDE STORAGE,RESIDENTIAL,1003 AVE A
CE1311-0421,GRASSWEEDS,RESIDENTIAL,1003 AVE A
CE1311-0422,PARKING,SINGLE FAMILY,1003 AVE A
CE1311-0423,FENCES,RESIDENTIAL,1003 AVE A
CE1311-0424,GRAFFITI,CITY PROPERTY,912 MCCORMICK ST
CE1311-0425,TRASHDEBRIS,RESIDENTIAL,1104 NEFF ST
CE1311-0426,TRASHDEBRIS,RESIDENTIAL,3613 CLYDESDALE DR
CE1311-0427,PARKING,SINGLE FAMILY,3209 CLYDESDALE DR
CE1311-0428,TRASHDEBRIS,RESIDENTIAL,1322 NEFF ST
CE1311-0429,OUTSIDE STORAGE,RESIDENTIAL,1322 NEFF ST
CE1311-0430,FENCES,RESIDENTIAL,1306 NORMAN ST
CE1311-0431,MINIMUM BUILDING STA,NO ADDRESS POSTED,1306 NORMAN ST
CE1311-0432,PARKING,SINGLE FAMILY,3303 FRIESIAN CT
CE1311-0433,PARKING,SINGLE FAMILY,6124 THACKERY DR
CE1311-0434,FENCES,RESIDENTIAL,1022 PEAK ST
CE1311-0435,OUTSIDE STORAGE,RESIDENTIAL,1224 BERNARD ST
CE1311-0436,PARKING,SINGLE FAMILY,6109 SADDLEBACK DR
CE1311-0437,TRASHDEBRIS,RESIDENTIAL,320 RUTH ST
CE1311-0438,TRASHDEBRIS,RESIDENTIAL,2814 LONESOME TRL
CE1311-0439,PARKING,BLOCKING SIDEWALK,2900 SADDLE DR
CE1311-0440,TRASHDEBRIS,RESIDENTIAL,421 MAGNOLIA ST
CE1311-0441,GRASSWEEDS,RESIDENTIAL,HIGHLAND PARK RD
CE1311-0442,TRASHDEBRIS,RESIDENTIAL,HIGHLAND PARK RD
CE1311-0443,OUTSIDE STORAGE,RESIDENTIAL,500 FRAME ST
CE1311-0444,OUTSIDE STORAGE,RESIDENTIAL,500 FRAME ST
CE1311-0445,INOPERABLE VEHICLE,MOTOR VEHICLE,604 ULAND ST
CE1311-0446,GRASSWEEDS,RESIDENTIAL,1219 HIGHLAND PARK
CE1311-0447,TRASHDEBRIS,RESIDENTIAL,1219 HIGHLAND PARK
CE1311-0448,TRASHDEBRIS,RESIDENTIAL,506 MIMOSA DR
CE1311-0449,TRASHDEBRIS,RESIDENTIAL,512 ROSE ST
CE1311-0450,GRASSWEEDS,RESIDENTIAL,2416 N CARROLL BLVD
CE1311-0451,TRASHDEBRIS,RESIDENTIAL,1209 HIGHLAND PARK RD
CE1311-0452,TRASHDEBRIS,RESIDENTIAL,439 STRATA DR
CE1311-0453,GRASSWEEDS,RESIDENTIAL,1223 HIGHLAND PARK
CE1311-0454,GRASSWEEDS,VACANT LOT,520 ROSE ST
CE1311-0455,GRASSWEEDS,RESIDENTIAL,1306 AMHERST DR
CE1311-0456,ILLEGAL DUMPING,VACANT LOT,520 ROSE ST
CE1311-0457,TRASHDEBRIS,RESIDENTIAL,2105 WISTERIA ST
CE1311-0458,TRASHDEBRIS,VACANT LOT,520 ROSE ST
CE1311-0459,TRASHDEBRIS,RESIDENTIAL,714 ROSE ST
CE1311-0460,GRASSWEEDS,RESIDENTIAL,1324 AMHERST DR
CE1311-0461,MINIMUM BUILDING STA,UNSECURED AND VACANT,611 N BRADSHAW ST
CE1311-0462,PARKING,SINGLE FAMILY,2103 WISTERIA ST
CE1311-0463,PARKING,SINGLE FAMILY,315 N CRAWFORD ST
CE1311-0464,TRASHDEBRIS,RESIDENTIAL,907 N WOOD ST
CE1311-0465,MINIMUM BUILDING STA,ROOFS AND DRAINAGE,1814 W HICKORY ST
CE1311-0466,TRASHDEBRIS,RESIDENTIAL,COUNTRY CLUB RD/FM1830
CE1311-0467,GRASSWEEDS,RESIDENTIAL,284 W WINDSOR DR
CE1311-0468,TRASHDEBRIS,RESIDENTIAL,284 W WINDSOR DR
CE1311-0469,INOPERABLE VEHICLE,MOTOR VEHICLE,301 CASIE CT
CE1311-0470,TRASHDEBRIS,RESIDENTIAL,301 CASIE CT
CE1311-0471,PARKING,BLOCKING SIDEWALK,421 CASIE CT
CE1311-0472,OUTSIDE STORAGE,RESIDENTIAL,420 CASIE CT
CE1311-0473,PARKING,BLOCKING SIDEWALK,333 CASIE CT
CE1311-0474,TRASHDEBRIS,RESIDENTIAL,333 CASIE CT
CE1311-0475,OUTSIDE STORAGE,RESIDENTIAL,3324 BROOKE ST
CE1311-0476,GRASSWEEDS,RESIDENTIAL,3341 EVERS PKWY
CE1311-0477,FENCES,RESIDENTIAL,3341 EVERS PKWY
CE1311-0478,OUTSIDE STORAGE,RESIDENTIAL,3341 EVERS PKWY
CE1311-0479,TRASHRECYCLE BINS,CURB WRONG TIME,3341 EVERS PKWY
CE1311-0480,GRASSWEEDS,RESIDENTIAL,1410 AMHERST DR
CE1311-0481,VIEW OBSTRUCTION,,3812 MARKET ST
CE1311-0482,GRASSWEEDS,RESIDENTIAL,1220 KNIGHT ST
CE1311-0483,PARKING,BLOCKING SIDEWALK,3337 EVERS PKWY
CE1311-0484,OUTSIDE STORAGE,COMMERCIAL,204 E PRAIRIE ST
CE1311-0485,TRASHDEBRIS,VACANT LOT,1425 GREENLEE ST
CE1311-0486,GRASSWEEDS,RESIDENTIAL,289 BENJAMIN DR
CE1311-0487,TRASHDEBRIS,COMMERCIAL,619-701 S LOCUST ST
CE1311-0488,GRASSWEEDS,RESIDENTIAL,305 BENJAMIN ST
CE1311-0489,OUTSIDE STORAGE,COMMERCIAL,619-701 S LOCUST ST
CE1311-0490,OUTSIDE STORAGE,RESIDENTIAL,1603 B MCCORMICK ST
CE1311-0491,PARKING,BLOCKING SIDEWALK,320 BENJAMIN ST
CE1311-0492,PARKING,BLOCKING SIDEWALK,303 / 301 W PRAIRIE ST
CE1311-0493,TRASHDEBRIS,RESIDENTIAL,329 BENJAMIN ST
CE1311-0494,GRASSWEEDS,RESIDENTIAL,300 GABE CT
CE1311-0495,GRASSWEEDS,RESIDENTIAL,301 GABE CT
CE1311-0496,TRASHDEBRIS,RESIDENTIAL,1307 LINDSEY ST
CE1311-0497,OUTSIDE STORAGE,RESIDENTIAL,1201 LINDSEY ST
CE1311-0498,PARKING,SINGLE FAMILY,417 GARDENVIEW ST
CE1311-0499,ZONING,ILLEGAL LAND USE,100 N LOOP 288
CE1311-0500,ORDINANCE OTHER DEPT,VACANT LOT,100 N LOOP 288
CE1311-0501,PARKING,SINGLE FAMILY,328 GARDENVIEW ST
CE1311-0502,GRASSWEEDS,RESIDENTIAL,609 GARDENVIEW CIR
CE1311-0503,TRASHRECYCLE BINS,LOCATION,609 GARDENVIEW CIR
CE1311-0504,INOPERABLE VEHICLE,MOTOR VEHICLE,3301 GARDENVIEW CIR
CE1311-0505,GRASSWEEDS,RESIDENTIAL,3300 GARDENVIEW CIR
CE1311-0506,GRASSWEEDS,RESIDENTIAL,3302 GARDENVIEW CIR
CE1311-0507,GRASSWEEDS,RESIDENTIAL,3319 GARDENVIEW CIR
CE1311-0508,TRASHDEBRIS,RESIDENTIAL,608 GARDENVIEW CIR
CE1311-0509,GRASSWEEDS,RESIDENTIAL,3327 GARDENVIEW CIR
CE1311-0510,TRASHDEBRIS,RESIDENTIAL,614 GARDENVIEW CIR
CE1311-0511,ZONING,SIGNAGE,2100 SADAU CT
CE1311-0512,TRASHDEBRIS,RESIDENTIAL,720 KINGS ROW
CE1311-0513,ZONING,SIGNAGE,2100 SADAU CT
CE1311-0514,ZONING,SIGNAGE,2100 SADAU CT
